"日期","收盘","开盘","高","低","百分比变化"
"2018年3月26日","6.2734","6.3139","6.3208","6.2734","-0.67%"
"2018年3月23日","6.3160","6.3351","6.3382","6.3160","-0.30%"
"2018年3月22日","6.3350","6.3156","6.3361","6.3155","0.19%"
"2018年3月21日","6.3232","6.3364","6.3373","6.3232","-0.17%"
"2018年3月20日","6.3341","6.3255","6.3343","6.3246","0.03%"
"2018年3月19日","6.3322","6.3372","6.3397","6.3302","-0.04%"
"2018年3月16日","6.3350","6.3352","6.3377","6.3259","0.20%"
"2018年3月15日","6.3221","6.3080","6.3244","6.3071","0.06%"
"2018年3月14日","6.3180","6.3220","6.3261","6.3100","-0.06%"
"2018年3月13日","6.3216","6.3223","6.3362","6.3216","-0.13%"
"2018年3月12日","6.3300","6.3301","6.3352","6.3241","-0.04%"
"2018年3月9日","6.3326","6.3502","6.3556","6.3326","-0.15%"
"2018年3月8日","6.3422","6.3332","6.3423","6.3262","0.26%"
"2018年3月7日","6.3255","6.3269","6.3332","6.3195","0.25%"
"2018年3月6日","6.3098","6.3350","6.3479","6.3098","-0.63%"
"2018年3月5日","6.3495","6.3285","6.3496","6.3281","0.06%"
"2018年3月2日","6.3454","6.3446","6.3627","6.3406","-0.20%"
"2018年3月1日","6.3582","6.3295","6.3602","6.3295","0.43%"
"2018年2月28日","6.3311","6.3345","6.3369","6.3247","0.22%"
"2018年2月27日","6.3170","6.3002","6.3172","6.2932","0.02%"
"2018年2月26日","6.3160","6.3266","6.3281","6.3078","-0.34%"
"2018年2月23日","6.3373","6.3498","6.3524","6.3354","-0.20%"
"2018年2月22日","6.3501","6.3479","6.3655","6.3457","0.03%"
"2018年2月21日","6.3482","6.3482","6.3482","6.3482","0.00%"
"2018年2月20日","6.3482","6.3482","6.3482","6.3482","0.00%"
"2018年2月19日","6.3482","6.3482","6.3482","6.3482","0.00%"
"2018年2月16日","6.3482","6.3482","6.3482","6.3482","0.00%"
"2018年2月15日","6.3482","6.3482","6.3482","6.3482","0.00%"
"2018年2月14日","6.3482","6.3393","6.3574","6.3339","0.11%"
